prng throughput
TripleRand 136403076
DualRand 187443922
SplitMix32 1124474870
AES4x32 561909819
Philox4x64 277575743
Philox2x64 266940586
Philox4x32 360724090
Philox2x32 306229278
Threefry4x64 253926558
Threefry2x64 210707656
Threefry4x32 247283480
Threefry2x32 215165983
ARS4x32 711055653
ChaCha20 175973328
ChaCha8 301246950
ChaCha6 348912777
ChaCha5 373921472
ChaCha4 413007394
ARC4 250926914
SFC32 839326939
JSF32r 917447084
JSF32n 833182972
gjrand32 612878054
ranshi 361450741
Hellekalek1995 7845923
Xoroshiro64**32 784891824
Xoroshiro64*32 827708310
Xoroshiro64+32 837506152
Xoroshiro128+32 827992999
Xoshiro128**32 865387248
Xoshiro128+32 987213531
WELL44497-ME 211006552
WELL23209-ME 197670319
WELL21701-ME 241500422
WELL19937-ME 235003430
WELL800-ME 269388441
WELL44497 234448169
WELL23209 263277312
WELL21701 248795501
WELL19937 255975610
WELL1024 383510867
WELL800 308048104
WELL607 267289535
WELL521 226146855
WELL512 406997531
xorshift128+ 713755211
xorwow 650203480
xorshift64* 638582196
xorshift32 674685493
MT11213B 677363905
MT19937-64 447492645
MT19937 594343424
Hurd288 364538877
Hurd160 341425001
Taus88 557270376
Ranlux64\_4\_01 10539328
Ranlux64\_3\_01 17401367
Ranlux4\_01 9800011
Ranlux3\_01 16698365
Ranlux64\_4 11993182
Ranlux64\_3 21147213
Ranlux48 7848167
Ranlux48Base 240120282
Ranlux4 11736705
Ranlux3 24499608
Ranlux24 25395567
Ranlux24Base 251232368
RANMAR 91292175
LaggedFibonacci44497 193966178
LaggedFibonacci23209 181067471
LaggedFibonacci19937 195484004
LaggedFibonacci9689 180233684
LaggedFibonacci4423 197901168
LaggedFibonacci3217 174545694
LaggedFibonacci2281 198023916
LaggedFibonacci1279 174776442
LaggedFibonacci607 195060795
PCG32K16384Fast 601914430
PCG32K16384 230426378
PCG32K1024Fast 680045649
PCG32K1024 615076888
PCG32K64Fast 767032831
PCG32K64 678934580
PCG32K2Fast 741882558
PCG32K2 737702804
PCG32Fast 985608033
PCG32Unique 842837563
PCG32 856534160
MixMax2.0 147073695
KnuthB 92963932
MINSTD 287947422
MINSTD0 279941937
RANECU 148716348
MCG128Fast 752509431
MCG128 679400535
Kreutzer1986 285549297
rand48 790201002
rand 78002747
