prng throughput
TripleRand 136403076
DualRand 187443922
SplitMix32 1124474870
AES4x32 561909819
Philox4x64 277575743
Philox2x64 266940586
Philox4x32 360724090
Philox2x32 306229278
Threefry4x64 253926558
Threefry2x64 210707656
Threefry4x32 247283480
Threefry2x32 215165983
ARS4x32 711055653
ChaCha20 175973328
ChaCha8 301246950
ChaCha6 348912777
ChaCha5 373921472
ChaCha4 413007394
ARC4 250926914
SFC32 839326939
JSF32r 917447084
JSF32n 833182972
gjrand32 612878054
ranshi 361450741
Hellekalek1995 7845923
Xoroshiro64**32 784891824
Xoroshiro64*32 827708310
Xoroshiro64+32 837506152
Xoroshiro128+32 827992999
Xoshiro128**32 865387248
Xoshiro128+32 987213531
WELL44497-ME 211006552
WELL23209-ME 197670319
WELL21701-ME 241500422
WELL19937-ME 235003430
WELL800-ME 269388441
WELL44497 234448169
WELL23209 263277312
WELL21701 248795501
WELL19937 255975610
WELL1024 383510867
WELL800 308048104
WELL607 267289535
WELL521 226146855
WELL512 406997531
xorshift128+ 713755211
xorwow 650203480
xorshift64* 638582196
xorshift32 674685493
