prng throughput
MT11213B 677363905
MT19937-64 447492645
MT19937 594343424
Hurd288 364538877
Hurd160 341425001
Taus88 557270376
Ranlux64\_4\_01 10539328
Ranlux64\_3\_01 17401367
Ranlux4\_01 9800011
Ranlux3\_01 16698365
Ranlux64\_4 11993182
Ranlux64\_3 21147213
Ranlux48 7848167
Ranlux48Base 240120282
Ranlux4 11736705
Ranlux3 24499608
Ranlux24 25395567
Ranlux24Base 251232368
RANMAR 91292175
LaggedFibonacci44497 193966178
LaggedFibonacci23209 181067471
LaggedFibonacci19937 195484004
LaggedFibonacci9689 180233684
LaggedFibonacci4423 197901168
LaggedFibonacci3217 174545694
LaggedFibonacci2281 198023916
LaggedFibonacci1279 174776442
LaggedFibonacci607 195060795
PCG32K16384Fast 601914430
PCG32K16384 230426378
PCG32K1024Fast 680045649
PCG32K1024 615076888
PCG32K64Fast 767032831
PCG32K64 678934580
PCG32K2Fast 741882558
PCG32K2 737702804
PCG32Fast 985608033
PCG32Unique 842837563
PCG32 856534160
MixMax2.0 147073695
KnuthB 92963932
MINSTD 287947422
MINSTD0 279941937
RANECU 148716348
MCG128Fast 752509431
MCG128 679400535
Kreutzer1986 285549297
rand48 790201002
rand 78002747
